x,y
0.0,0.0,0.0
0.0,2.055,0.0
0.0,4.11,0.0
0.0,6.165000000000001,0.0
0.0,8.22,0.0
0.0,10.275,0.0
0.0,12.330000000000002,0.0
0.0,14.385000000000002,0.0
0.0,16.44,0.0
0.0,18.495,0.0
0.0,20.55,0.0
0.0,22.605,0.0
0.0,24.660000000000004,0.0
0.0,26.715000000000003,0.0
0.0,28.77,0.0
6.0,28.77,0.0
6.0,26.715,0.0
6.0,24.66,0.0
6.0,22.604999999999997,0.0
6.0,20.549999999999997,0.0
6.0,18.494999999999997,0.0
6.0,16.439999999999998,0.0
6.0,14.384999999999998,0.0
6.0,12.329999999999998,0.0
6.0,10.274999999999999,0.0
6.0,8.219999999999999,0.0
6.0,6.164999999999999,0.0
6.0,4.109999999999996,0.0
6.0,2.054999999999996,0.0
6.0,0.0,0.0
12.0,0.0,0.0
12.0,2.055,0.0
12.0,4.11,0.0
12.0,6.165000000000001,0.0
12.0,8.22,0.0
12.0,10.275,0.0
12.0,12.330000000000002,0.0
12.0,14.385000000000002,0.0
12.0,16.44,0.0
12.0,18.495,0.0
12.0,20.55,0.0
12.0,22.605,0.0
12.0,24.660000000000004,0.0
12.0,26.715000000000003,0.0
12.0,28.77,0.0
18.0,28.77,0.0
18.0,26.715,0.0
18.0,24.66,0.0
18.0,22.604999999999997,0.0
18.0,20.549999999999997,0.0
18.0,18.494999999999997,0.0
18.0,16.439999999999998,0.0
18.0,14.384999999999998,0.0
18.0,12.329999999999998,0.0
18.0,10.274999999999999,0.0
18.0,8.219999999999999,0.0
18.0,6.164999999999999,0.0
18.0,4.109999999999996,0.0
18.0,2.054999999999996,0.0
18.0,0.0,0.0
24.0,0.0,0.0
24.0,2.055,0.0
24.0,4.11,0.0
24.0,6.165000000000001,0.0
24.0,8.22,0.0
24.0,10.275,0.0
24.0,12.330000000000002,0.0
24.0,14.385000000000002,0.0
24.0,16.44,0.0
24.0,18.495,0.0
24.0,20.55,0.0
24.0,22.605,0.0
24.0,24.660000000000004,0.0
24.0,26.715000000000003,0.0
24.0,28.77,0.0
30.0,28.77,0.0
30.0,26.715,0.0
30.0,24.66,0.0
30.0,22.604999999999997,0.0
30.0,20.549999999999997,0.0
30.0,18.494999999999997,0.0
30.0,16.439999999999998,0.0
30.0,14.384999999999998,0.0
30.0,12.329999999999998,0.0
30.0,10.274999999999999,0.0
30.0,8.219999999999999,0.0
30.0,6.164999999999999,0.0
30.0,4.109999999999996,0.0
30.0,2.054999999999996,0.0
30.0,0.0,0.0
36.0,0.0,0.0
36.0,2.055,0.0
36.0,4.11,0.0
36.0,6.165000000000001,0.0
36.0,8.22,0.0
36.0,10.275,0.0
36.0,12.330000000000002,0.0
36.0,14.385000000000002,0.0
36.0,16.44,0.0
36.0,18.495,0.0
36.0,20.55,0.0
36.0,22.605,0.0
36.0,24.660000000000004,0.0
36.0,26.715000000000003,0.0
36.0,28.77,0.0
42.0,28.77,0.0
42.0,26.715,0.0
42.0,24.66,0.0
42.0,22.604999999999997,0.0
42.0,20.549999999999997,0.0
42.0,18.494999999999997,0.0
42.0,16.439999999999998,0.0
42.0,14.384999999999998,0.0
42.0,12.329999999999998,0.0
42.0,10.274999999999999,0.0
42.0,8.219999999999999,0.0
42.0,6.164999999999999,0.0
42.0,4.109999999999996,0.0
42.0,2.054999999999996,0.0
42.0,0.0,0.0
